zheng,"{9453: ([12], 0.017241379310344827), 9615: ([1560], 0.0005938242280285036), 13085: ([2], 0.05), 15879: ([240], 0.0027624309392265192), 18082: ([4, 36], 0.0425531914893617), 18750: ([1766], 0.00048355899419729207), 24057: ([1, 10], 0.045454545454545456), 29662: ([17], 0.037037037037037035), 29891: ([4, 36], 0.0425531914893617), 35065: ([13], 0.04), 35748: ([17], 0.02857142857142857), 36293: ([1766], 0.00048355899419729207), 37872: ([77, 77], 0.0006353240152477764), 38098: ([1, 11, 19], 0.11538461538461539), 38247: ([5, 5], 0.0006353240152477764), 38322: ([124], 0.005319148936170213), 38344: ([5], 0.014925373134328358), 38430: ([1, 17, 33, 1, 17, 33], 0.0019059720457433292), 38565: ([2], 0.005376344086021506), 38576: ([12], 0.004694835680751174), 38631: ([165], 0.003816793893129771)}"
zhe,"{9603: ([67], 0.006369426751592357), 13201: ([5], 0.058823529411764705), 37486: ([9], 0.007874015748031496)}"
zhihui,"{10025: ([7, 13], 0.10526315789473684)}"
zuozhi,"{10008: ([7, 13], 0.10526315789473684)}"
ziv,"{10296: ([25], 0.02040816326530612), 15547: ([55, 63, 144, 55, 63, 144], 0.0013510470614726414), 15903: ([4, 5, 34], 0.07317073170731707), 17720: ([16], 0.043478260869565216), 18045: ([13], 0.05), 18178: ([19], 0.038461538461538464), 19426: ([16], 0.043478260869565216), 19865: ([6], 0.07692307692307693), 20123: ([6], 0.07692307692307693), 20319: ([8], 0.06666666666666667), 21205: ([55, 63, 144], 0.016304347826086956), 21433: ([13], 0.05), 21486: ([16], 0.043478260869565216), 21731: ([24], 0.03225806451612903), 22990: ([17], 0.041666666666666664), 23359: ([55, 63, 144], 0.016304347826086956), 23998: ([11, 12, 27], 0.07317073170731707), 24639: ([17], 0.041666666666666664), 24763: ([6, 7], 0.09523809523809523), 28542: ([16], 0.043478260869565216), 28859: ([24], 0.03225806451612903), 29944: ([9, 71], 0.022988505747126436), 30833: ([7], 0.07142857142857142), 31401: ([4], 0.017857142857142856), 31742: ([6, 7], 0.09523809523809523), 32170: ([10], 0.058823529411764705), 33558: ([1, 12], 0.043478260869565216), 34179: ([16], 0.043478260869565216), 34496: ([10], 0.058823529411764705), 34912: ([7], 0.07142857142857142), 35177: ([17], 0.041666666666666664), 35680: ([1, 24, 26], 0.1111111111111111), 35809: ([10], 0.058823529411764705), 35837: ([9], 0.0625), 37264: ([13], 0.05), 37270: ([12, 15, 31], 0.06666666666666667), 37872: ([79, 79], 0.0006353240152477764), 37975: ([1, 2, 15, 28, 1, 2, 15, 28], 0.0025412960609911056), 37987: ([1, 22], 0.008928571428571428), 38096: ([1, 37, 1, 37], 0.0014179369018078695), 38161: ([1, 17, 25, 1, 17, 25], 0.0021269053527118043), 38269: ([1, 17, 40, 63, 1, 17, 40, 63], 0.0025412960609911056), 38519: ([7, 48, 7, 48], 0.0012706480304955528), 38585: ([1, 37], 0.00881057268722467)}"
zscore,"{10277: ([15, 17, 70], 0.03571428571428571)}"
zeetv,"{10858: ([8], 0.02702702702702703), 11492: ([23], 0.024390243902439025), 11680: ([0, 12, 16], 0.15), 12187: ([20], 0.02631578947368421)}"
ziddio,"{11775: ([24], 0.013333333333333334)}"
z,"{12656: ([19], 0.010526315789473684), 13010: ([318, 689], 0.001876172607879925), 14548: ([29], 0.03333333333333333), 15101: ([47, 53, 63, 69], 0.05405405405405406), 15171: ([8], 0.0030303030303030303), 15493: ([18], 0.05263157894736842), 15807: ([32], 0.005154639175257732), 17014: ([141, 154], 0.005934718100890208), 17172: ([223], 0.00423728813559322), 17594: ([38, 40], 0.009259259259259259), 18007: ([300, 306], 0.00196078431372549), 18229: ([20], 0.02127659574468085), 18319: ([636], 0.0009587727708533077), 18435: ([35], 0.005494505494505495), 18695: ([96], 0.008547008547008548), 19222: ([88], 0.010638297872340425), 19634: ([138], 0.004878048780487805), 19968: ([122, 126, 130], 0.012048192771084338), 20041: ([2235], 0.00022815423226100844), 20049: ([3, 86], 0.011428571428571429), 20058: ([682], 0.0013422818791946308), 20327: ([41], 0.012987012987012988), 21539: ([1, 32, 34], 0.08571428571428572), 21568: ([137, 142, 150, 152, 157, 158], 0.03468208092485549), 22062: ([52], 0.004081632653061225), 22190: ([157], 0.005917159763313609), 22313: ([24], 0.02702702702702703), 22366: ([170], 0.004484304932735426), 22469: ([59], 0.01639344262295082), 22484: ([13, 16], 0.009615384615384616), 22559: ([29, 37, 42], 0.05084745762711865), 22584: ([19], 0.029411764705882353), 22732: ([18], 0.05263157894736842), 22870: ([2163, 2166], 0.0008536064874093043), 23103: ([16], 0.01639344262295082), 24160: ([50, 51, 52, 54, 56, 58, 60, 63], 0.0311284046692607), 24228: ([49, 51, 53], 0.046153846153846156), 24312: ([412, 415, 419, 422, 426, 432, 435, 448, 453, 459, 464, 470, 496, 501, 519, 522, 541, 544, 561, 564, 572, 575, 576, 634, 639, 645, 650, 656, 676, 681, 699, 702, 721, 724, 741, 744], 0.017183770883054894), 24692: ([44], 0.0049504950495049506), 24750: ([1826, 1832], 0.0008077544426494346), 24963: ([9, 24, 29], 0.04285714285714286), 25114: ([549, 553, 1347, 1549, 1560, 1563, 1608, 1636], 0.004610951008645533), 25152: ([629, 629], 0.0004440497335701599), 25323: ([91, 94, 97], 0.020833333333333332), 26356: ([41, 43, 46, 51, 66, 71], 0.026785714285714284), 26399: ([802, 805, 809, 812, 816, 822, 825, 835, 838, 842, 845, 849, 875, 880, 897, 900, 918, 921, 937, 940, 948, 951, 957, 1022, 1025, 1029, 1032, 1036, 1052, 1059, 1076, 1079, 1097, 1100, 1116, 1119], 0.014634146341463415), 26537: ([14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42], 0.15789473684210525), 26602: ([912], 0.0010741138560687433), 27188: ([168], 0.005376344086021506), 27876: ([25, 33, 34, 37, 55, 88, 92, 151, 154, 160], 0.06172839506172839), 29063: ([44, 44], 0.00038948393378773126), 29636: ([11, 39, 43, 49, 56, 71, 195, 203, 242, 268, 292, 328], 0.03418803418803419), 29776: ([1729], 0.00031446540880503143), 30123: ([138, 161], 0.011904761904761904), 31639: ([54, 56, 58, 61, 67, 69, 72, 79, 80, 84, 89, 90, 92, 94, 95, 96, 97, 98, 99, 100, 102, 103, 104, 105, 106], 0.22727272727272727), 31683: ([53], 0.0003875968992248062), 31852: ([89], 0.010869565217391304), 31887: ([0, 1, 4, 6, 7, 8], 0.1276595744680851), 32004: ([6], 0.038461538461538464), 32147: ([114, 118, 128, 538], 0.0067226890756302525), 32300: ([1884, 1913, 1916, 1919, 2628, 2631], 0.0020761245674740486), 32592: ([47], 0.015384615384615385), 32661: ([177], 0.0056179775280898875), 34031: ([52], 0.004166666666666667), 34144: ([125, 128, 138], 0.005042016806722689), 34531: ([8], 0.004366812227074236), 34593: ([104], 0.009345794392523364), 35372: ([32], 0.022222222222222223), 35696: ([104, 128], 0.013888888888888888), 35813: ([14], 0.010526315789473684), 35852: ([122, 126, 130], 0.011904761904761904), 36298: ([4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 82, 84, 86], 0.2), 36962: ([300, 306], 0.0019743336623889436), 36966: ([12, 26], 0.06896551724137931), 37204: ([38, 40], 0.009259259259259259), 37598: ([537, 549, 552, 591], 0.0064516129032258064)}"
zap,"{12886: ([77], 0.00819672131147541), 14523: ([24], 0.02631578947368421), 14712: ([25], 0.022222222222222223), 15740: ([22], 0.02631578947368421), 16884: ([24], 0.02702702702702703), 16952: ([23], 0.02702702702702703), 17343: ([24], 0.023809523809523808), 18408: ([23], 0.02857142857142857), 18473: ([29], 0.018867924528301886), 18785: ([25], 0.02564102564102564), 18804: ([25], 0.024390243902439025), 18990: ([24], 0.027777777777777776), 19258: ([23], 0.023255813953488372), 19264: ([23], 0.02857142857142857), 19883: ([25], 0.023255813953488372), 19962: ([30], 0.021739130434782608), 20390: ([23], 0.02631578947368421), 21035: ([24], 0.025), 21060: ([24], 0.025), 21109: ([26], 0.02040816326530612), 21278: ([23], 0.02857142857142857), 21585: ([23], 0.02631578947368421), 21716: ([24], 0.025), 22510: ([22], 0.03125), 22610: ([23], 0.029411764705882353), 22945: ([24], 0.025), 23329: ([24], 0.02702702702702703), 23367: ([24], 0.025), 23888: ([22], 0.027777777777777776), 23914: ([25], 0.02127659574468085), 24423: ([22], 0.02631578947368421), 24640: ([24], 0.023809523809523808), 25144: ([22], 0.023255813953488372), 26139: ([25], 0.023255813953488372), 26172: ([29], 0.018518518518518517), 26919: ([24], 0.022727272727272728), 27288: ([23], 0.022727272727272728), 27513: ([25], 0.023255813953488372), 27756: ([25], 0.023809523809523808), 28435: ([22], 0.03571428571428571), 28941: ([24], 0.022727272727272728), 29135: ([24], 0.023255813953488372), 29682: ([25], 0.02857142857142857), 29796: ([23], 0.02702702702702703), 29991: ([26], 0.02631578947368421), 30194: ([25], 0.025), 30227: ([24], 0.02564102564102564), 30398: ([27], 0.02702702702702703), 30677: ([22], 0.023809523809523808), 30842: ([22], 0.030303030303030304), 30873: ([25], 0.023809523809523808), 31111: ([22], 0.02857142857142857), 31113: ([26], 0.02631578947368421), 31162: ([22], 0.027777777777777776), 31308: ([27], 0.02127659574468085), 31736: ([27], 0.020833333333333332), 32134: ([23], 0.023255813953488372), 32397: ([22], 0.02631578947368421), 32467: ([22], 0.027777777777777776), 32996: ([25], 0.03125), 33458: ([21], 0.03225806451612903), 33933: ([26], 0.02631578947368421), 33978: ([24], 0.02564102564102564), 34324: ([23], 0.025), 34419: ([25], 0.024390243902439025), 34837: ([24], 0.02702702702702703), 35050: ([27], 0.02040816326530612), 35095: ([23], 0.02857142857142857), 35433: ([24], 0.025), 35791: ([25], 0.029411764705882353), 36193: ([26], 0.022222222222222223), 36260: ([24], 0.02564102564102564), 37086: ([22], 0.02857142857142857), 37347: ([22], 0.027777777777777776), 37494: ([23], 0.023255813953488372), 37605: ([24], 0.022222222222222223)}"
zdnet,"{12968: ([115], 0.0037313432835820895), 33789: ([47, 53], 0.03508771929824561)}"
zeichen,"{12691: ([4189], 9.857072449482504e-05)}"
zhvillim,"{12691: ([2171], 9.857072449482504e-05)}"
zsh,"{13002: ([77], 0.007462686567164179)}"
zynga,"{12691: ([4250], 9.857072449482504e-05)}"
zebo,"{13010: ([146, 517], 0.001876172607879925)}"
zhaohao,"{13221: ([5], 0.058823529411764705)}"
zhou,"{13221: ([6], 0.058823529411764705), 28276: ([106], 0.004329004329004329), 35836: ([278], 0.002066115702479339), 38687: ([1, 53], 0.019417475728155338)}"
